tag,questions,paragraph,source,answer
offence type ct 40 main text,"['what all offences comes under act 40', 'who comes under army act 40', 'what the crimes which are subjected to army act 40', 'crimes which comes under army act 40', 'what are army act 40', 'who is subjected under army act 40']","a) 	uses criminal force to or assaults his superior officer; or<br>
    (b)	 uses threatening language to such officer; or<br>
    (c)	 uses insubordinate language to such officer; shall on conviction by court-martial,",../index used/aa41and40.json,
imprisonment act 40 main text,"['imprisonment duration according to act 40', 'what is the next step after a person is subjected under army act 40', 'what are the punishments in army act 40', 'punishments under army act 40', 'what if anyone commited crime subjected under army act 40', 'What is the punishment for using criminal force to or assaulting Superior Officer?', 'How much sentence a person will get for using criminal force to or assaulting a Superior Officer?', 'What is the maximum sentence for using criminal force to a superior officer?', 'What is the maximum punishment for using criminal force to a superior officer?']","if such officer is at the time in the execution of his office or, If the offence is committed on active service, be liable to suffer imprisonment for a term which may extend to fourteen years or such less punishment as is in this Act mentioned; and in other cases, be liable to suffer imprisonment for a term which may extend to ten years or such less punishment as is in this Act mentioned.   Provided that in the case of an offence specified in clause (e), the imprisonment shall not exceed five years",../index used/aa41and40.json,
criminal force example 40 note 2 a i,"['criminal force example', 'which instance comes under criminal force', 'which activity comes under criminal force', 'Give me an example of use of criminal force.', 'What will be an appropriate example of criminal force?', 'Illustrate with an example meaning of term criminal force?', 'Give a practical instance of criminal force.']","A throws a stone at B. If the stone hits B, A has used criminal force, if it misses him, A has attempted to use criminal force",../index used/aa41and40.json,
assault example act 40 note 2 a ii,"['assault example', 'which instance comes under assault', 'which activity comes under assault', 'Give me an example of assault.', 'What will be an appropriate example of assault?', 'Illustrate with an example meaning of term assault.', 'Give a practical instance of assault.']","A, during an altercation with B, picks up a stone in a threatening manner. If A intends, or knows it to be likely, that this will cause B to believe that A is about to throw the stone at him. A commits an assault on B",../index used/aa41and40.json,
assult and criminal force similarity act 40 note 2 a ,"['difference between criminal force and assualt', 'how criminal force is different from assault', 'what is the difference between criminal force and assault', 'Is there any similarity between criminal force and assault?', 'What is the relation between criminal force and assault?']","An 'assault' is something less than the use of criminal force; the force being cut short before the blow actually falls. It seems to consist in an attempt or offer by a person having present ability, with force to do any hurt or violence to the person of another, and it is committed whenever a well founded apprehension of peril from a force partially or fully put in motion is created, e.g., when a person draws a bayonet or otherwise makes a show of violence against a superior but not when net is behind the bars or at such a distance as to rule out at the moment any actual use of criminal force An assault is thus included in every use of criminal force, and is an intermediate stage thereof",../index used/aa41and40.json,
private defence act 40 note 2 b,"['if someone force is used in private defence', 'Can Maj A after slapping Lt Col B defend himself by saying that he slapped Lt Col B in private defence?', 'Is use of criminal force in private defence condonable?', 'Can a Army personnel go scot free after using criminal force to his superior officer?']"," If the force be used in the exercise of the right of private defence, for instance if it be shown that it was necessary, or that at the moment the accused had reason to believe it was necessary for his actual protection from injury, and that he used no more force than was reasonably necessary for this purpose, he is legally justified in using it and commits no offence. See IPC.ss.96, 97—102 (Part III)",../index used/aa41and40.json,
Provocation 40 note 2 c,"['if someone is provocaed to use ciminal force', 'Can a junior take defence of provocation for using criminal force to superior officer?', 'Is provocation a defence for using criminal force?']","Provocation is not a ground of acquittal, but tends to mitigate the punishment; evidence of provocation, if tendered, must therefore be admitted. Also see note 6 to AR 52.",../index used/aa41and40.json,
intoxication act 40 note 2 d,['if someone is drunk will that person be charged under section 40'],"As to intoxication as an excuse or defence to a charge under this section, see note4to AAs.48. ",../index used/aa41and40.json,
act 40 note 3,"['Can two persons be tried jointly for using criminal force to or assaulting a superior officer?', 'Is joint trial permissible for a charge framed under Sec 40 (a) of Army Act?', 'What is required to be prove a joint charge under Sec 40 (a)?', 'What is required to prove joint charge of criminal force or assault?']",A joint charge under this clause can be sustained provided that the use of criminal force or assault was the result of a concerted action in furtherance of a common intent (IPC.s.34) though in some cases such concerted use of force may amount to an offence under AA. s.37(b) also.,../index used/aa41and40.json,
act 40 note 4,"['what if criminal force to a superior is accompanied by insubordinate language', 'what is done if criminal force is in insubordinate language']","When use of criminal force to a superior is accompanied by insubordinate language, the use of criminal force only should be charged (assuming that the evidence is satisfactory) and the language would be admissible in evidence to show the manner in which the offence was committed",../index used/aa41and40.json,
act 40 note 5,[],A person charged with using criminal force may be found guilty of an attempt to use criminal force or assault (AA.s.139(8) and (3)).,../index used/aa41and40.json,
act 40 note 6 a,"['who is Superior Officer', 'Explain Superior Officer as used in Sec 40(a) of Army Act?', 'What is the meaning of Superior Officer as used in Sec 40(a) of Army Act?', 'In what sense word Superior Officer has been used in Sec 40(a) of Army Act?']","The definition of Superior Officer is given in Sec 3(xxiii) of Army Act. Further, The expression 'superior officer' in this section and in AA.s.41 means not only a superior in rank but also a senior in the same grade where that seniority gives power of command according to the usages of the service, but one sepoy can never be the 'Superior officer' of another. The court should be satisfied, before conviction, that the accused knew the person, with respect to whom the offence was committed, to be a superior officer .If the superior did not wear the insignia of his rank, and was not personally known to the accused, evidence would be necessary to show that the accused was otherwise aware of his being his superior officer, or had reason to believe him, to be this superior officer. If such evidence is not available, the accused should be charged under AA.s.63 or 69.Note 6 (c) of Sec 40.",../index used/aa41and40.json,
act 40 note 6 b,[],"While framing a charge under this section, the name of the superior officer shut be set out in the particulars of the charge.",../index used/aa41and40.json,
act 40 note 6 c,['how to identify if the officer is of superior rank'],"The expression 'superior officer' in this section and in AA.s.41 means not only a superior in rank but also a senior in the same grade where that seniority gives power of command according to the usages of the service, but one sepoy can never be the 'Superior officer' of another. The court should be satisfied, before conviction, that the accused knew the person, with respect to whom the offence was committed, to be a superior officer .If the superior did not wear the insignia of his rank, and was not personally known to the accused, evidence would be necessary to show that the accused was otherwise aware of his being his superior officer, or had reason to believe him, to be this superior officer. If such evidence is not available, the accused should be charged under AA.s.63 or 69",../index used/aa41and40.json,
act 40 note 6 d,[' what if the accused is of the same grade as of the superior officer'],"Where the accused is charged with an offence against a superior officer who is of the same grade, evidence must be adduced to show that the latter is senior to the accused.",../index used/aa41and40.json,
act 40 note 6 e,['what if the rank of the superior is of lowest level'],The lower the rank of the superior the less is the gravity of the offence. Also see Regs Army para 450.,../index used/aa41and40.json,
act 40 note 7 a,"['how sever will be the punishment if the office is on active service', 'what if the offence is committed on active service', 'commiting an offence on active service', 'what if superior officer was at the relevant time in the execution of his office', 'offece when superior officer was at the relevant time in the execution of his office ']",The offence under this clause or clauses (b) and (c) is punishable more severely if such superior officer was at the relevant time in the execution of his office or if the offence is committed on active service. Such aggravating circumstances should not be averred in the particulars unless the case warrants severe punishment and it is intended to try the accused by a GCM,../index used/aa41and40.json,
act 40 note 7 b,"['define in the execution of his office', ""what do you mean by term 'in the execution of his office'"", 'offence circumstances in which a superior officer in uniform ', 'What does execution of his office mean?', 'What is the meaning of Execution of his office?', 'Explain words in execution of his office?']","It is difficult accurately to define the words 'in the execution of his office', but the military knowledge and experience of the members of a court-martial will enable them in most instances readily to determine whether the superior officer was or was not in the execution of his office. A superior officer in plain clothes may undoubtedly be in the execution of his office; but where the superior officer is in plain clothes, it becomes necessary to prove some knowledge on the part of the accused at the time of the offence that the person who was assaulted or to whom criminal force was used was a superior officer and that he was known to the accused as such, which is not the case where the superior officer is in uniform. On the other hand, there may be circumstances in which a superior officer in uniform is not in the execution of his office. It may be taken in general that using criminal force to or assaulting any superior officer by a person subject to AA over whom it is, at the relevant time, the duty of that superior officer to maintain discipline, would be using criminal force to or assaulting him in the execution of his office",../index used/aa41and40.json,
act 40 note 7 c,['under with act the accused will be punish if the superior officer is not on active service when offence was committed'],"When the accused is charged, with using criminal force to or assaulting his superior officer who is at the time in the execution of his office or if the accused is charged with committing the offence on active service and the court is satisfied that the offence was committed but not on active service or that the superior officer was not then in the execution of his office, he may be found guilty under AA.s.139(7) of the same offence as having been committed in circumstances involving a less severe punishment",../index used/aa41and40.json,
act 40 note 8,['what comes under act 40 clause b'],A joint charge of using threatening or insubordinate language to a superior officer should not be preferred,../index used/aa41and40.json,
act 40 note 9,[],"Where the charge is for using threatening or insubordinate language the particulars of the charge must state the expressions or their substance, and the superior to whom they were addressed.
            Expression of substance :<br>
            (a) The offence under this clause or clauses (b) and (c) is punishable more severely if such superior officer was at the relevant time in the execution of his office or if the offence is committed on active service. Such aggravating circumstances should not be averred in the particulars unless the case warrants severe punishment and it is intended to try the accused by a GCM<br>
            (b)	 It is difficult accurately to define the words 'in the execution of his office', but the military knowledge and experience of the members of a court-martial will enable them in most instances readily to determine whether the superior officer was or was not in the execution of his office. A superior officer in plain clothes may undoubtedly be in the execution of his office; but where the superior officer is in plain clothes, it becomes necessary to prove some knowledge on the part of the accused at the time of the offence that the person who was assaulted or to whom criminal force was used was a superior officer and that he was known to the accused as such, which is not the case where the superior officer is in uniform. On the other hand, there may be circumstances in which a superior officer in uniform is not in the execution of his office. It may be taken in general that using criminal force to or assaulting any superior officer by a person subject to AA over whom it is, at the relevant time, the duty of that superior officer to maintain discipline, would be using criminal force to or assaulting him in the execution of his office. <br>
            (c)	 When the accused is charged, with using criminal force to or assaulting his superior officer who is at the time in the execution of his office or if the accused is charged with committing the offence on active service and the court is satisfied that the offence was committed but not on active service or that the superior officer was not then in the execution of his office, he may be found guilty under AA.s.139(7) of the same offence as having been committed in circumstances involving a less severe punishment<br>
            ",../index used/aa41and40.json,
act 40 note 10,['which expression cannot be made the subject of a criminal charge'],"Expressions, however offensive to a superior, that are used (a) in the course of a judicial, inquiry, (b) by a party to that inquiry, and (c) upon a matter pertinent to and bonafide for the purposes of that inquiry, as, for instance, the credibility of a witness, are privileged, and cannot be made the subject of a criminal charge.",../index used/aa41and40.json,
act 40 note 11,[],"Expressions used of a superior officer and not within his hearing, or which cannot be proved to be used to a superior officer, must be charged as an offence under AA.s.63, and not under this section, but the use of threatening or otherwise insubordinate language regarding one superior to (in the sense that it is intended to be heard by) another superior constitutes an offence of using threatening or insubordinate language under this section.",../index used/aa41and40.json,
act 40 note 12,"['what does Threatening language mean', 'what do you mean by Threatening language', 'how can you define Threatening language', 'which language is considered under Threatening language', 'Explain Threatening Language?', 'What does Threatening Language mean?', 'What do you understand by Threatening Language?']",Threatening language means language from which a person addressed may reasonably infer that criminal force may be used. This may be inferred either from the character of the words used or from the surrounding circumstances.,../index used/aa41and40.json,
act 40 note 13,[],"Whereas all threatening language is insubordinate the converse is not true; therefore unless there is no doubt as to his intention an accused should be charged with using insubordinate language rather than threatening. A court may, however, if satisfied in other respects that an offence under this section has been committed, make a special finding when an accused is charged with the offence of using threatening language that he was guilty of using insubordinate language. (AA.s.139(4)).",../index used/aa41and40.json,
act 40 note 15,"['what is insubordinate language', 'act for threatening language and insubordinate language', 'is threatening language a insubordinate Language', 'how threatening language is different from insubordinate language', ' What does insubordinate language mean?', 'What is the meaning of insubordinate language?']","The words must be used with an insubordinate intent, that is to say, they must be, either in themselves, or in the manner or circumstances in which they are spoken, insulting or disrespectful, and in all cases it must reasonably appear that they were intended to be heard by a superior. The words themselves need not necessarily be discourteous. If they indicate a deliberate intention to be insubordinate or resist lawful authority they may properly be regarded as disrespectful of authority, although courteously expressed. Where for instance a sepoy, having been given a lawful command which does not require immediate compliance, indicates respectfully that he does not intend to comply with it and is at once placed in arrest before being given a chance to comply, he may be charged with an offence under this section though not with an offence under AA.s.41(2)",../index used/aa41and40.json,
act 40 note 16,[],"Further a sepoy may in an outburst of temper or excitement use violent language without intending to be in subordinate. Allowance should also be made for the use of coarse expressions by a person of inferior education which might often be used as mere expletives. These expressions might be insubordinate if used by an officer, a JCO or a senior NCO but not so when used by a junior NCO or a sepoy. These points must be considered by a court before convicting an accused of an offence under this clause. ",../index used/aa41and40.json,
act 40 note 17,[],"As to the use of coarse and abusive language by a person who is intoxicated, see note 6 to AA.s.48.",../index used/aa41and40.json,
act 40 note 18,"['what if insubordinant words are written, not spoken', 'what if threatning words are written, not spoken', 'what is the caluse if threatning words are written', 'Can the charge of insubordinate language be framed without words having been spoken?']","The words need not necessarily be spoken. If an accused writes a letter containing insubordinate expressions and addresses it to a superior officer, intending the letter to be read by the addressee, a charge would lie under this clause.",../index used/aa41and40.json,
