title,paragraphs
Army_Act_Section_27,"['27.  Remedy of aggrieved officers— Any officer who deems himself wronged by his commanding officer or any superior officer and who on due application made to his commanding officer does not receive the redress to which he considers himself entitled, may complain to the Central Government in such manner as may from time to time be specified by the proper authority.  ', 'NOTES  ', '1.  It is the custom of the service to forward every complaint through the CO if the unit, and an officer would not be justified in deviating from this course, unless the CO should refuse, or unreasonably delay, to forward it. In such a case, an officer, on addressing himself directly to higher authority, should apprise his CO of his doing so, and should observe in the channel of approach to the Central Government each intermediate gradation of command in so far as he is concerned.  2.  CO : see AA.s.3(v); Superior Officer: see AA.s.3(xxiii).  3.  Deems himself wronged: see note 2to AA.s.26  4.  This sec is not available to officers seconded for service with a civil department of a State, in respect of matters arising in the coarse of seconded employment  5. Although the complaint is to the Central Government an intermediate authority is not debarred from expressing his own view of the case, and such an expression of opinion may even in some cases suffice to render further steps unnecessary. See also notes 7 and 9 to AA.s.26.']"
Army_Act_Section_64,"['64. Miscellaneous offences.—  Any person subject to this Act who commits any of the following offences, that is to say, —  (a)  being in command at any post or on the march, and receiving a complaint that any one under his command has beaten or otherwise maltreated or oppressed any person, or has disturbed any fair or market, or committed any riot or trespass, fails to have due reparation made to the injured person or to report the case to the proper authority; or  (b)  by defiling any place, of worship, or otherwise, intentionally insults the religion or wounds the religious feelings of any person; or  (c)  attempts to commit suicide, and in such attempt does any act towards the commission of such offence; or  (d)  being below the rank of warrant officer, when off duty, appears, without proper authority, in or about camp or cantonments, or in or about, or when going to or returning from, any town or bazar, carrying a rifle, sword or other offensive weapon; or  (e)  directly or indirectly accepts or obtains, or agrees to accept or attempts to obtain for himself of for any other person, any gratification as a motive or reward for procuring the enrolment of any person, or leave of absence, promotion or any other advantage or indulgence for any person in the service; or  (f)  commits any offence against the property or person of any inhabitant of, or resident in, the country in which he is serving;  shall,on conviction by court-martial, be liable to suffer imprisonment for a term which may extend to seven years or such less punishment as is in this Act mentioned. ', '171     ', 'NOTES 1.  Clause(a)-The offence under this clause can only be committed by a person who is in command.  2.  For definition of riot and trespass, see IPC.ss.146 and 441 respectively.  3 . Clause (b). —The offence under this clause, which is similar to offence under chapter XV of the IPC is based on the Fundamental Right to freedom of religion conferred by Art.27 of the Constitution.  4.  Intentionally.—A person is presumed to intend the natural and probable consequences, of his act and the court may infer intention from the circumstances. See note 4 to AA.s.34.  5.  Clause (c). —(a) This offence is the same as the civil offence under IPC.s.309. (b)  A person should not be charged with attempted suicide unless the circumstances of the case make it clear that he seriously intended to take his life. (c) Where the action falls short of a deliberate intent to end his life, the accused could be charged under AA.s.46(c) or 63 (if appropriate); the charge alleging that the accused rendered himself temporarily unfit for duty by reason of his conduct.  (d)  At the summary of evidence and the trial evidence must be given by a medical officer as to the probable effect of the action which the accused took and he should also express his opinion as to the state of mind of the accused at the time of the commission of the alleged offence.  6.  Clause (d).—(a) This offence can only be committed by NCO or sepoy.  (b)  Camp. —See note 13 to AA. s.34. \'Cantonment\' is not restricted to those stations which have been declared to be ""cantonments"" for the purposes of the Cantonments Act,1924 (II of 1924). Troops are considered to be in a cantonment for the purposes of AA when they are quartered in any Station or locality as a permanent, or semi-permanent, arrangement.  (c)  Without proper authority. —See note 3 (a) to AA. s.49.  7.  Clause (e). —(a) Gratification. —This term is not restricted to a pecuniary gratification or a gratification estimable in money. The offence is complete if the gratification is given with the intention indicated, and it is not necessary that the enrolment or other object should be actually procured. An attempt to obtain a gratification (e.g., by asking for it) is punishable equally with the actual receipt of one. An attempt to give a gratification (e.g., an offer of a bribe) is an abetment of the offence by way of instigation and is punishable under AA.s.66 or; 68 as the case may be.  (b)  Any other advantage or indulgence.—Such advantage etc., must be ejusdem generis.  8.  Clause (f). —(a) Offence. —For definition see AA.s.3(xvii). The word ""offence"" here means an offence which would be punishable, if committed in India as a civil offence.  (b)  See note 11 to AA.s.42.It is frequently of the highest importance to conciliate the inhabitants of the country where the troops happen to be, and to induce them to bring provisions and supplies. From this point of view an offence, which in other circumstances would be trivial, may require severe punishment, as for instance, if a trifling theft has the effect of disturbing the confidence of the inhabitants and endangering the supplies of the Army. A person should not be charged under this clause when the offence is committed in India. Elsewhere it is better that a charge should be preferred under AA.s.69 and not under this clause. The charge must set out the specific acts of violence or the specific offence alleged to have been done or committed.']"
Army_Act_Section_38,"['38.  Desertion and aiding desertion.— (1)  Any person subject to this Act who deserts or attempts to desert the service shall, on conviction by court-martial,  if he commits the offence on active service or when under orders for active service, be liable to suffer death or such less punishment as is in this Act mentioned; and  if he commits the offence under any other circumstances, be liable to suffer imprisonment for a term which may extend to seven years or such less punishment as is in this Act mentioned.   (2)  Any person subject to this Act who, knowingly harbours any such deserter shall, on conviction by court-martial, be liable to suffer imprisonment for a term which may extend to seven years or such less punishment as is in this Act mentioned.  (3)  Any person subject to this Act who, being cognizant of any desertion or attempt at desertion of a person subject to this Act, does not forthwith give notice to his own or some other superior officer, or take any steps in his power to cause such person to be apprehended, shall, on conviction by court-martial, be liable to suffer imprisonment for a term which may extend to two years or such less punishment as is in this Act mentioned.  ', 'NOTES  ', '1.  General.—(a)  An offence under sub-section (1) of this section when on active service or under orders for active service should not be dealt with summarily under AA.ss.80, 83 or 84. (b)  When a superior officer directs the case of an offender against whom a charge for desertion has been preferred to be summarily disposed of, he should order the offence to be disposed of as one of absence without leave. See notes to AA.s.39. See generally AA.ss.104 and 105 and Regs Army paras 376 to 381. (c)  Under AA.s.120(3), a CO can try by SCM a NCO or sepoy under his command, for an offence under this section. As a rule a NCO or OR cannot be attached to another unit for purposes of his trial by SCM; but see Regs Army para 381 for the circumstances when a CO other than the CO of the unit to which a NCO or OR properly belongs, can try him by SCM for an offence of desertion or absence without leave.  2  Sub sec.(1).—Desertion is distinguished from absence without leave under AA.s.39; in that desertion or attempt to desert the service implies an intention on the part of      ', '141    the accused either (a) never to return to the service or (b) to avoid some important military duty (commonly known as constructive desertion) e.g., service in a forward area, embarkation for foreign service or service in aid of the civil power and not merely some routine duty or duty only applicable to the accused like a fire piquet duty. A charge under this section cannot lie unless it appears from the evidence that one or other such intention existed; further, it is sufficient if the intention in (a) above was formed at the time during the period of absence and not necessarily at the time when the accused first absented himself from unit/duty station. 3.  A person may be a deserter although he re-enrolls himself, or although in the first instance his absence was legal (e.g. authorised by leave), the criterion being the same, viz., whether the intention required for desertion can properly be inferred from the evidence available (the surrounding facts and the circumstances of the case). 4.  Intention to desert may be inferred from a long absence, wearing of disguise, distance from the duty station and the manner of termination of absence e.g., apprehension but such facts though relevant are only prima facie, and not conclusive, evidence of such intention. Similarly the fact that an accused has been declared an absentee under AA.s.106 is not by itself a deciding factor if other evidence suggests the contrary. 5.  A person subject to the AA charged with desertion may be found guilty of an attempt to desert or of absence without leave, and such a person charged with attempting to desert may be found guilty of being absent without leave provided evidence was avail- able to prove the absence; see AA.s.139(1)and (2). When the absence began more than 3 years before the date of trial, the provisions of AA.s.122 must be borne in mind and complied with. For instance where an accused person is charged with desertion commencing on a date more than three years before the date of trial, he cannot be found guilty under AA. s. 139(1) of absence without leave from that date but such absence must be restricted to a period not exceeding three years immediately prior to the commencement of trial; where such a finding and sentence has been wrongly confirmed, the competent authority under AA.s.163 may substitute a valid finding and pass a sentence for the offence specified or involved in such finding. 6.  When a person subject to AA has been absent from his duty without authority for a period of thirty days, a court of inquiry is mandatory under AA.s.106 but even after such a court of inquiry has been held, the case can still be disposed of summarily under AA.s.80, 83 or 84 but the charge should be laid for absence without leave under AA.s.39. As to inquiring into absence see AR183 also. 7.  AA.s.122 which prescribes the limitation of time for the trial of offences expressly excludes desertion; but where a person other than an officer has subsequently to the commission of the offence served continuously in an exemplary manner for not less than three years, he cannot be tried for such offence of desertion which was committed before the commencement of such three years other than desertion on active service. For \'exemplary service\' see Regs Army para 465. 8. Two or more persons cannot be tried jointly with committing the offence of desertion under this sub sec. 9.  AA.ss.90(a) and 91(a) read with P and A Regs provide for automatic forfeiture of pay and allowances for every day a person subject to AA is absent on desertion or without leave. 10.  As to forfeiture of service for pension or gratuity, which follows upon desertion, and restoration of service so forfeited, see Regs pension (Part I) Reg 123. The period between desertion and apprehension/surrender does not, under the prescribed conditions of enrolment; reckon as service towards discharge. Service rendered previous to desertion, though forfeited for purposes of pension or gratuity, reckons as service towards discharge.  As to a person who absents himself from his corps or department and enrolls again, see AA.s.43 and notes thereto. 11. (a) While framing charges of desertion or absence without leave care must be taken to ensure that the particulars allege and the prosecution prove, both the date when the absence began, and the date when it ended (by return, surrender, apprehension or re-enrolment). It is not sufficient to allege and prove absence ""on or about"" a certain date, or ""from some date subsequent to……………”. (b) Commencement of absence under this section or AA.s.39 may be proved in the following ways : (i) orally by a witness who found the accused absent, or   ', '142     (ii) by production by a witness on oath, who can identify the accused as the person named in   (aa) the declaration of a court of inquiry held under AAs.106 as entered in the court-martial book; or  (bb) a certified true copy of the above declaration on IAFD-918; or ', ""Provided AA.s 106 and AR 183 have been compiled with (cc)  an entry in a part II Order; provided the entry is one that is made in Regimental orders/books in pursuance of military duty and the orders purported to be signed by the CO or by the officer whose duty it is to make such record AA.s.142(3). Such an entry should only be used as evidence where no direct evidence and no declaration of a court of inquiry is available and even then it is only prima facie evidence and may be rebutted; or (dd)  a copy of such an order purporting to be certified to be a true copy by the officer having custody of such order; see AA.s.142(4). (c)  Termination of absence may be proved in the following ways : — (i)  by oral evidence of a witness who apprehended the accused or to whom the accused surrendered; or (ii)  by production by a witness on oath, who can identify the accused as the person named in : (aa)  a certificate on IAFD-910 stating the fact, date and place of surrender or apprehension and the manner in which the accused was dressed and signed by a police officer not below the rank of an officer in charge of a police station to whom the accused surrendered or by whom he was apprehended AA.s.142(6); or (bb)  where the surrender was made to an officer or other person subject to AA or any portion of the regular Army or where the accused was apprehended by an officer or other person subject to AA, a similar certificate signed by the 'proper' officer : AA.s.142(5) (Also see Regs Army para 378); or (cc)  a Part II Order showing the taking on strength properly signed in accordance with AA.s.142(3); or (dd)  a certified true copy of such order in accordance with AA.s.142(4); or (ee)  where the absence terminated by fraudulent enrolment in the regular Army, the enrolment paper or certified true copy thereof. AA.s.141(2).  12.  The commencement of an absence cannot be proved by production of an absence report as this is not a regimental book under Regs Army para 610.  13  Attempt to desert.— To establish an attempt to desert, some act which, if completed, would constitute desertion must be proved, e.g., a soldier is arrested in the act of leaving his unit lines without authority, dressed in plain clothes and carrying his personal kit, when the circumstances indicate that he intends to desert. The test is whether the act, or series of acts, in the course of which the offender is apprehended or surrenders, would, if completed, amount to desertion. A mere preparation to desert, if unaccompanied by any such act which if completed would amount to. Desertion does not constitute an offence of attempting to desert. But if there is evidence that the offender actually absented himself from the place where his duty required him to be and that he intended to desert, the offence is complete and a charge for desertion, not for an attempt to desert should be framed. Attempt to desert is itself made a substantive offence, and a charge for the same should be preferred under this sub sec and not under AA.s.65.  14.  For definition of active service; see AA.s.3(i).  15.  Abetment of desertion of a person subject to the AA can be charged under AA.s.66.  16.  Sub sec (2) : Knowingly.—see note 18 to AA.s34.  17.  Harbours: see note 19 to AA.s.34.  18.  Any such deserter.—A charge under this sub sec can lie when the offence of desertion has already been committed.     "", '143     ', ""19.  Sub sec.(3).— To substantiate a charge the particulars must specify the precise steps which, it is alleged by the prosecution, were within the power of the accused to take to cause the deserter or intending deserter to be apprehended. The times at which the accused became aware of the desertion or attempt to desert and gave notice to a superior officer, are material and should be disclosed in the charge.  20.  Superior officer means the 'Superior Officer' in relation to the offender, not to the deserter or intending deserter,""]"
Army_Act_Section_50,"['50.  Irregularity in connection With arrest or confinement. —Any person subject to this Act who commits any of the following offences, that is to say,-  (a) Unnecessarily detains a person in arrest or confinement without bringing him to trial, or fails to bring his case before the proper authority for investigation; or  (b) having committed a person to military custody fails without reasonable cause to deliver at the time of such committal, or as soon as practicable, and in any case within forty-eight hours thereafter, to the officer or other person into whose custody the person arrested is committed, an account in writing signed by himself of the offence with which the person so committed is charged; shall on conviction by court-martial, be liable to suffer imprisonment for a term which may extend to two years or such less punishment as is in this Act mentioned.  ', 'NOTES  ', '1. Clause (a): —In support of a charge laid under this clause for either of the offences therein created the prosecutor will have to prove the facts which either show or enable the court to infer that the accused could have brought the person under arrest or in confinement to trial or brought his case before the proper authority for investigation. If these are proved the court may infer that it was unnecessary to keep the person, in question, in custody in the absence of an explanation by the accused. As to ""the proper Authority"" see AR2(d). See also Regs Army para 408(b). 2.  AR 27(3) prohibits an accused being detained in military custody which includes open arrest for longer than 2 months without the sanction of the COAS and for longer than 3 months without the approval of the Central Government. 3.  Clause (b): —For definition of military custody, see AA.s.3(xiii).  4.  When a guard etc., commander   wilfully or without reasonable excuse refuses to receive a person committed to his charge, he commits an offence under AA.s.49(a) in respect of his improper refusal. The fact that no account in writing of the type required in this clause was received by the guard etc., commander from the person committing the person at the time of committal or within 48 hours thereafter would not entitle the guard commander to refuse custody or charge or to effect the subsequent release of any such person, 5.  As regards powers of arrest and confinement and ancillary matters see AA.s.101 and 107 and Regs Army paras391 to 397. Also see Regs Army para 401.']"
Army_Act_Section_17,"['17.  Mode of attestation.— (1) When a person who is to be attested is reported fit for duty, or has completed the prescribed period of probation, an oath or affirmation shall be administered to him in the prescribed form by his commanding officer in front of his corps or such portion thereof or such members of his department, as may be present, or by any other prescribed person.  (2)  The form of oath or affirmation prescribed under this section shall contain a promise that the person to be attested will bear true allegiance to the Constitution of India as by law established, and that he will serve in the regular Army and go wherever he is ordered by land, sea or air, and that he will obey all commands of any officer set over him, even to the peril of his life.  (3)  The fact of an enrolled person having taken the oath or affirmation directed by this section to be taken shall be entered on his enrolment paper, and authenticated by the signature of the officer administering the oath or affirmation.  ', 'NOTES  ', '1.  For the prescribed form of oath or affirmation to be administered on attestation see AR 9(1) and for its translation, in vernacular languages see notes to AR.9.  2. The proper authority to attest a person subject to the Act is generally his immediate CO who should do so in the ceremonial manner here indicated. For list of other ""attesting officers"" see AR 9(2).']"
Army_Act_Section_31,"['31. Privileges of reservists   Every person belonging to the Indian Reserve Forces shall, when called out for or engaged in or returning from, training or service, be entitled to all the privileges accorded by sections 28 and 29 to a person subject to this Act.  ', 'NOTE  ', 'It would appear that persons belonging to the Indian Reserve Forces, though subject to the AA at all times would not enjoy the privileges conferred by AA.ss.28 and 29 except in the circumstances mentioned in this section.']"
Army_Act_Section_57,"['57.  Falsifying official documents and false declarations. —Any person subject to this Act who commits any of the following offences, that is to say, —  (a)  in any report, return, list, certificate, book or other document made or signed by him, or of the contents of which it is his duty to ascertain the accuracy; knowingly makes, or is privy to the making of any false or fraudulent statement; or  (b)  in any document of the description mentioned in clause(a) knowingly makes, or is privy to the making of, any omission, with intent to de fraud; or  (c)  knowingly and with intent to injure any person, or knowingly and with intent to defraud, suppresses, defaces, alters or makes away with any document which it is his duty to preserve or produce; or  (d)  where it is his official duty to make a declaration respecting any matter, knowingly makes a false declaration; or  (e)  obtains for himself, or for any other person, any pension, allowance or other advantage or privilege by a statement which is false, and which he either knows or believes to be false or does not believe to be true, or by making or using a false entry in any book or record or by making any document containing a false statement, or by omitting to make a true entry or document containing a true statement.   shall,on conviction by court-martial, be liable to suffer imprisonment for a term which may extend to fourteen years or such less punishment as is in this Act mentioned.  ', ""NOTES 1. (a) An offence under this section should not be dealt with summarily under AA.ss.80, 83 or 84. Before trial is ordered on charges under this section, reference should be made to the DJAG Command concerned. (b)  This section refers to strictly official documents. 2. Clauses (a) and (b).—A report (which must be in writing), return, certificate or other document mentioned herein must be one executed by the accused in his capacity as a person subject to AA and not in some civil capacity. The 'other document' which should be ejusdem generis, should be specified in the statement and particulars of the charge. A trivial error in the report should not, in the absence of fraud or bad faith, be made the ground of a charge under these clauses. 3.  'Made by him'. —Making a document means creating or bringing it into existence e.g., writing or typing it as distinguished from sealing, signing or otherwise executing it. 4.  In determining whether or not it was the duty of the accused to ascertain the accuracy of the report, etc., referred to in the charge, the court may use their military knowledge (AA.s.134). 5.  (a) If a person makes false entries as to payments made in a book which it was his duty to keep in his official capacity he may be charged with knowingly making false statement under clause (a) or, if it can be shown that he intended to defraud by means of the entries, he may be charged with knowingly making a fraudulent statement. Similarly, if he omits to make in the book entries of payments made by him or to him he may; if the evidence justifies such a course, be charged with knowingly making such omissions with intent to defraud under clause (b). (b) When the accused has on the same occasion made a number of fraudulent entries on an acquittance roll, etc., an omnibus charge under AA. s.52(f) would be preferable to a number of charges under clause (a). 6.  Knowingly. —See note 18 to AA. s.34. 7.  It is wrong to make a statement made by an accused in defence or in explanation of an offence imputed to him, the subject of a charge against him, such statement or explanation is strictly analogous to a plea of 'not guilty' before a court-martial, thus casting the burden of proof on the other side, and the accused is at liberty to make at any preliminary inquiry the best excuse he can. 8.  Clause (c). —The suppression, etc., of a document is not an offence under this clause if it is affected only with intent to deceive and not to defraud. The question as to the duty of the accused to preserve or produce the document will be determined by the court using their military knowledge. The particulars of a charge under this clause should show the capacity or appointment on account of which it was the accused's duty to produce or preserve the document. 9.  Clause (e). —(a) Other advantage or privilege must be of a similar kind. (b) obtaining pension or other such advantage may be for himself or any other person whether subject to AA or not.""]"
Army_Act_Section_62,"['62.  Offences in relation to aircraft and flying. — Any person subject to this Act who commits any of the following offences, that is to say,   (a)  wilfully or without reasonable excuse damages, destroys or loses any aircraft or aircraft material belonging to the Government;. or  (b)  is guilty of any act or neglect likely to cause such damage, destruction or loss; or  (c)  without lawful authority disposes of any aircraft or aircraft material belonging to the Government; or,  (d)  is guilty of any act or neglect in flying, or in the use of any aircraft, or in relation to any aircraft or aircraft material, which causes or is likely to cause loss of life or bodily injury to any person; or  (e)  during a state of war, wilfully and without proper occasion, or negligently, causes the sequestration, by or under the authority of a neutral State, or the destruction in a neutral State of any aircraft belonging to the Government; Shall, on conviction by court-martial, be liable, if he has acted wilfully, to suffer imprisonment for a term which may extend to fourteen years or such less  9—609 DMR&F/ND/80   punishment as is in this Act mentioned, and, in any other case, to suffer imprisonment for a term which may extend to five years or such less punishment as is in this Act mentioned.  ', 'NOTES  ', '1.  (a) Offences under this section should not be dealt with summarily under AA.ss.80, 83 or 84.  (b)  Before trial is ordered on charges under this section, reference should be made to the DJAG Command concerned, see Regs Army para 458. 2.  As the terms \'aircraft\' and \'aircraft material\' have not been defined in AA. They should, be construed in the light of the definitions given in the Air Force Act which are as under: ""aircraft"" includes aeroplanes, balloons, kite balloons, airships, gliders or other machines for flying. ""aircraft material"" includes any engines, fittings, guns, gear, instruments or apparatus for use in connection with aircraft, and any of its components and accessories and petrol oil, and any other substance used for providing motive power for planes. 3.  The word \'neglect\' in this section means culpable neglect; see note 3 to AA.s.63. 4.  Wilfully or without reasonable excuse. See note 2 to AA.s.49. 5.  If an accused is charged under this section with wilfully damaging an aircraft he may be found guilty of damaging it without reasonable excuse under AA.s.139(7) if the evidence justifies this course.']"
Army_Act_Section_60,"['60.  False evidence—  Any person subject to this Act who, having been duly sworn or affirmed before any court-martial or other court competent under this Act to administer an oath or affirmation, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall, on conviction by court-martial, be liable to suffer imprisonment for a term which may extend to seven years or such less punishment as is in this Act mentioned.  ', 'NOTES . ', '1.  (a) An offence under this section should not be dealt with summarily under AA.ss.80, 83 or 84. 2.  (a) The offence specified in this section is in many respects similar to the offence of giving false evidence under IPC.s.191.  (b)  The courts referred to in this section are. —   (i)  Court-martial,  (ii)  A court of inquiry on illegal absence under AA.s.106,  (iii)  A court of Inquiry on recovered prisoners of war:AA.s191(2)(d) and AR.181 (iv)  Any other court of inquiry when the officer assembling the court has directed that the evidence be recorded on oath or affirmation: AA.s.191(2)(d) and AR 181.  (c)  Statement at a summary of evidence cannot be given on oath. If, therefore, false evidence is given at a summary of evidence the charge should be framed under AA.s.63. 3.  The proceedings of the court-martial or court of inquiry before which false evidence is alleged to have been given are not admissible as evidence that the accused gave the evidence as charged. The officer who recorded the proceedings, or some other person, who heard the evidence given, must prove by oral evidence this fact and that the accused was duly sworn/affirmed. He may however, use the record to refresh his memory, (IEA.ss.159 and 160). The proceedings of the court are, however, admissible to prove that the occasion on which the alleged false statement was made was a properly constituted court martial or court of inquiry. 4.  A charge under this section cannot be preferred when the false evidence is given at a naval or airforce court-martial though in such cases a charge under AA.s.63 or 69 could be preferred.']"
Army_Act_Section_35,"[""35. Offences in relation to the enemy and not punishable with death.— Any person subject to this Act who commits any of the following offences, that is to say,—  (a)  is taken prisoner, by want of due precaution, or through disobedience of orders, or wilful neglect of duty, or having been taken prisoner, fails to rejoin his service when able to do so; or  (b)  without due authority holds correspondence with or communicates intelligence to the enemy or having come by the knowledge, of any such correspondence or communication, wilfully omits to discover it immediately to his commanding or other superior officer; or  (c)  without due authority sends a flag of truce to the enemy; shall, on conviction by court-martial be liable to suffer imprisonment for a term which may extend to fourteen years or such less punishment as is in this Act mentioned.  NOTES 1. Offences under this section should not be dealt with summarily under AA.ss.80, 83 or 84. 2. Clause (a): Where the conduct of any person subject to the AA. when being taken prisoner by or while in the hands of the enemy is to be inquired into, the COAS may 5 -609 DMR&F(ND)/80  order a court of inquiry to be held for this purpose and on the basis of the finding of the said court, the pay and allowances of such person may be forfeited by order of the Central Govt; see AA.s.90(h) and 96. Such a court of inquiry held in the absence of the said person is provisional and as such has no effect except on the pay and allowances of that person.  3.  Clause (b):  This offence is less grave in form than the one under AA.s.34(d).  4.  (a)  'Communicates intelligence to'.— A man must be taken to intend the natural consequences of his acts, and this clause appears to be wide enough to cover the case of intelligence reaching the enemy through the capture or the re-publication (e.g., by relatives or newspapers) of letters, sketches, photographs, etc. Everyone connected with the forces should recognise the grave danger of assisting the enemy by gossip, whether verbal or written, as to plans, prospects, operations, numbers, etc. As to unauthorised publication of official documents see Regs Army para 318 and Official Secrets Act, 1923 (reproduced in part III). (b) In a charge under this clause however, it must be proved that the intelligence did in fact reach the enemy.  5.  Clause (c): The offence under this clause is less grave in form than the one under AA.s.34(f).""]"
